Activity,Subject,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-mean(),fBodyAccMag-std(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-std()
Walking downstairs,5,-0.325018538,-0.236446901,0.192462299,-0.021096545,-0.102933416,-0.632895748,-0.086503679,0.096848892,0.039811627,0.027086199,0.006806482,-0.037511921,-0.734945061,-0.720124635,-0.696421047,-0.761559471,-0.513708724,-0.445738899,-0.784566161,-0.623021064,-0.083347022,0.419986459,0.520102258,0.546901133,-0.034252277,-0.01468786,-0.04326586,-0.25914778,-0.240624474,-0.389303967,0.037986333,-0.279659551,-0.211953766,-0.132072368,-0.444746274,-0.435397413,-0.76115756,-0.511757208,0.123298136,0.075329185,-0.350990197,-0.16676218,-0.351090136,-0.293273559,-0.39018761,-0.437437448,-0.331307406,-0.501779233,-0.490794632,-0.628088851,-0.648991033,-0.692459484,-0.918618106,-0.949284342,-0.88143585,-0.964732847,-0.888475457,-0.902143737,-0.934527271,-0.902171973,-0.809368269,-0.826930938,-0.71504915,-0.75513774,-0.621241968,-0.533848197
Sitting,5,-0.092754665,-0.105635605,0.260419251,-0.028436156,-0.031270431,-0.593588088,0.022554795,0.111940709,0.01402686,-0.047895229,-0.012199671,-0.085974015,-0.929895744,-0.914553987,-0.829135632,-0.372714311,-0.138872762,-0.000217065,-0.250415129,0.231917461,0.376551244,0.389507173,-0.027792902,-0.164371186,-0.175566664,-0.166984938,-0.195463487,-0.367365192,-0.444648385,-0.493097743,-0.128529511,0.110543564,-0.194122178,-0.27367521,-0.219339674,-0.508746535,-0.52969787,-0.531241536,0.038581831,-0.01537002,-0.349196504,-0.390626376,-0.38688857,-0.359410366,-0.343365197,-0.538136668,-0.585043339,-0.682453908,-0.619329006,-0.65615799,-0.683044008,-0.666569533,-0.93391749,-0.943432172,-0.934427522,-0.955091214,-0.953821743,-0.936760948,-0.892315461,-0.868330978,-0.881591353,-0.869076585,-0.621424442,-0.670584838,-0.427732091,-0.421251489
Standing,5,-0.399186537,-0.120479153,0.076532606,-0.026321225,-0.009765999,-0.3802261,0.025987325,0.10403843,0.059843813,0.050417412,-0.019987434,-0.11930255,-0.768065945,-0.901619083,-0.884262656,-0.749605792,-0.585102997,-0.58784359,-0.432522138,-0.418917484,-0.316970683,-0.135596559,0.200109669,0.065390047,-0.145755126,0.094842078,-0.06218912,-0.025836169,-0.155214831,-0.125962041,0.050075015,-0.081790807,-0.006002357,-0.180659524,-0.62015574,-0.554285125,-0.598504923,-0.449755582,0.155808337,0.082428266,0.113268989,0.015905554,-0.187715647,-0.054561342,-0.124595651,-0.127048806,-0.392284182,-0.486621239,-0.299745883,-0.456874029,-0.187818061,-0.293037391,-0.852704859,-0.856060962,-0.893802589,-0.879746925,-0.89398919,-0.878324237,-0.845483276,-0.861615849,-0.937906564,-0.896137989,-0.676794383,-0.66423105,-0.392063973,-0.455638898
Laying,5,-0.253774446,-0.261053608,0.135366163,-0.1334302,-0.061568169,-0.553041781,-0.016287689,0.12729111,0.115594611,0.071862452,0.040047541,0.004129448,-0.573804815,-0.68651403,-0.733983371,-0.794868958,-0.719355922,-0.68758521,-0.690219664,-0.493438571,-0.641545079,-0.396546522,-0.557104519,-0.166605803,0.049646942,0.07263119,-0.068802107,-0.126146354,-0.245094926,-0.083870767,-0.180698367,-0.083485789,-0.0483883,-0.17582293,-0.576138403,-0.699305398,-0.319964695,-0.514818261,-0.028000586,0.089862574,-0.105577947,-0.062026902,-0.014855913,-0.143879954,-0.042289593,-0.252369758,-0.496306046,-0.645148493,-0.449752436,-0.52855728,-0.538087599,-0.37766623,-0.888532243,-0.895079846,-0.883164408,-0.904545021,-0.925040424,-0.925980356,-0.904879922,-0.872780592,-0.879007108,-0.838445785,-0.815909263,-0.725623267,-0.654471219,-0.578364891
Walking,6,-0.069764291,-0.243772471,0.028879983,-0.152018266,-0.103819089,-0.2237861,0.058303595,-0.10142174,-0.106830784,0.13034135,0.036566253,0.027495122,-0.947330959,-0.895615443,-0.872019478,-0.889450302,-0.866761483,-0.735993828,-0.521002453,-0.51829579,-0.416313907,-0.37925174,-0.103859446,0.015412435,0.000113491,-0.055086357,-0.068815888,-0.004022759,-0.002842135,0.085111749,-0.096833487,0.115289007,-0.005008504,-0.066571244,-0.448054906,-0.45965027,-0.386893778,-0.564574134,0.163140993,0.08968596,0.004404932,0.01558476,0.043207114,0.03852807,0.003904733,0.021613223,-0.48770867,-0.247649325,-0.46789134,0.041729268,-0.13211408,-0.116970461,-0.795437594,-0.84272949,-0.841642894,-0.862029363,-0.886192242,-0.884931531,-0.829814435,-0.762843342,-0.890892071,-0.874459548,-0.626862901,-0.60789744,-0.318288852,-0.377212288
Walking Upstairs,6,-0.356845085,-0.20121016,0.118974677,-0.101267549,-0.140167623,-0.64686862,0.023982237,-0.141150311,-0.045526997,0.074012509,0.021606172,0.000753869,-0.765101876,-0.618307153,-0.843644481,-0.66525786,-0.488675161,-0.378495472,-0.434695567,-0.220199144,-0.021184972,-0.02750776,0.321850264,0.273633186,-0.011598595,-0.00294326,0.022729741,-0.108713585,-0.111683945,-0.228647692,-0.021306575,-0.007026857,-0.029565004,-0.061742493,-0.538544947,-0.082030735,-0.60173308,-0.409289718,-0.022118121,-0.088367601,-0.302787959,-0.308751715,-0.411014975,-0.466979734,-0.550618585,-0.451322865,-0.471096568,-0.649229294,-0.622544681,-0.653365073,-0.591411056,-0.689572714,-0.907997172,-0.84798549,-0.880413831,-0.883876651,-0.846703492,-0.83358818,-0.843184726,-0.863336144,-0.866162033,-0.840504522,-0.741760363,-0.753932182,-0.591165385,-0.651708859
Walking downstairs,6,-0.37458728,-0.115274339,0.088400384,0.014247376,-0.107383329,-0.191636255,-0.108482074,-0.116974079,0.047481759,-0.071581529,-0.066054148,0.12084119,-0.575669747,-0.839226697,-0.778391803,-0.749396669,-0.777151369,-0.587892473,-0.36918524,-0.448774785,-0.163781229,0.021357196,-0.004408802,-0.079069731,-0.001173947,0.051790446,-0.025573579,-0.020875878,-0.144044623,-0.234532492,-0.249430516,-0.048030414,-0.008058524,-0.092275221,-0.289690105,-0.313993962,-0.300819457,-0.387221487,0.030333552,0.125645777,-0.142705203,0.037492241,-0.042767623,-0.107970269,-0.175991623,-0.332074154,-0.274264854,-0.308905264,-0.196630407,-0.198042631,-0.241504169,-0.177951776,-0.831846719,-0.861736027,-0.852007506,-0.900797946,-0.857259288,-0.846495313,-0.834326475,-0.794366222,-0.77134162,-0.768316252,-0.66743471,-0.650195778,-0.40916793,-0.161693379
Sitting,6,0.011836057,-0.302929676,0.130061438,-0.11786716,-0.117796975,-0.551309094,-0.048451042,0.133179929,0.077166936,0.083857934,0.109559216,0.01709327,-0.835675013,-0.900655688,-0.866597618,-0.849954882,-0.762069039,-0.628788058,-0.623999078,-0.631914704,-0.121309797,-0.299679474,0.485312444,0.201045698,0.083226746,0.050508335,0.065931198,0.042402559,-0.017681316,-0.122292917,0.020806626,0.027849224,0.016092506,-0.011780077,-0.6691166,-0.702161984,-0.715218961,-0.779111913,0.102470468,0.230050658,-0.030969046,-0.214533345,-0.01288081,-0.156011109,-0.160564027,-0.395482424,-0.539226859,-0.436340216,-0.25500095,-0.192462995,-0.362780678,-0.357723696,-0.877334494,-0.929125552,-0.941289554,-0.924154552,-0.958654037,-0.961673341,-0.913936026,-0.918826093,-0.935787829,-0.891373603,-0.798886419,-0.767646026,-0.586287577,-0.509643718
Standing,6,-0.315083574,-0.361114323,0.135415627,-0.082716252,-0.132172894,-0.43780696,0.090757381,0.005769387,0.074564638,0.034326915,-0.059878519,-0.057703586,-0.505817872,-0.833872533,-0.831366632,-0.846316766,-0.704828447,-0.597485565,-0.724461437,-0.722407504,-0.715468396,-0.482028887,-0.296331313,-0.087671449,-0.001936896,-0.004591808,-0.049924198,-0.156319509,-0.10454507,-0.224092176,-0.00614673,-0.022250979,-0.011261728,-0.09974978,-0.625387382,-0.624000644,-0.63015325,-0.502607448,0.107524491,0.248649621,-0.186766377,-0.030692308,-0.173897877,-0.104981279,-0.21235465,-0.089215426,-0.577873935,-0.448414131,-0.450612094,-0.528812539,-0.460888167,-0.43263938,-0.878080686,-0.868019879,-0.888525732,-0.895776514,-0.902416229,-0.923852859,-0.862302985,-0.861153359,-0.928522748,-0.9397655,-0.743641462,-0.664928588,-0.567420695,-0.514130555
Laying,6,-0.269142142,-0.187406516,0.18251258,-0.079358195,-0.205950598,-0.378968048,0.005946449,0.052376405,-0.033414959,0.155222345,0.110206369,-0.090531997,-0.681931881,-0.889528022,-0.855487613,-0.873767555,-0.931226768,-0.839848799,-0.5741013,-0.617637391,-0.600969244,-0.304344938,-0.115066308,0.237933452,0.097614756,0.064983704,0.072075161,0.066441233,-0.01211828,-0.016474461,-0.118687321,0.024313439,0.011790176,0.083109927,-0.626739991,-0.63339942,-0.567091528,-0.625368796,0.138618425,0.165253602,0.03207626,0.051563351,0.025016694,0.037213567,-0.000977348,-0.069967166,-0.193721833,-0.340408912,-0.20118484,-0.24924855,-0.27397204,-0.352816075,-0.867400312,-0.880289418,-0.85824697,-0.899792008,-0.914287682,-0.872992107,-0.847470934,-0.816882197,-0.871269723,-0.911657746,-0.740147229,-0.779251489,-0.546328382,-0.362427221
Walking,7,-0.284114566,-0.442780369,0.169346254,-0.01635099,-0.095581008,-0.563214187,-0.064044338,-0.038858227,-0.028510958,-0.168684428,-0.017717562,-0.186728067,-0.503156847,-0.797924028,-0.620791882,-0.584222612,-0.632849529,-0.470676461,-0.677593289,-0.529215073,-0.162129714,0.000976237,0.11098014,0.325960011,0.029901509,-0.055278714,-0.034253893,-0.085013614,-0.036401281,-0.088102486,-0.112840667,-0.19985603,-0.093675018,-0.086538816,-0.56751868,-0.481525413,-0.761219835,-0.578984419,-0.113241767,-0.061295562,-0.040405856,-0.151250624,-0.226167976,-0.120746005,-0.423799594,-0.318520489,-0.458793923,-0.464983702,-0.426733187,-0.563591242,-0.625023185,-0.586506055,-0.82133865,-0.844006999,-0.861104707,-0.744885257,-0.781489385,-0.772489944,-0.833815404,-0.831606253,-0.820799686,-0.804727503,-0.706518645,-0.734727976,-0.547561358,-0.538939688
Walking Upstairs,7,-0.370087363,-0.55871682,0.113182504,-0.145076888,-0.189532531,-0.78579762,0.094204066,0.044551212,0.036795077,-0.038796474,0.056711313,0.032428538,-0.793438118,-0.852506873,-0.846932472,-0.697953091,-0.792991773,-0.536690382,-0.599810272,-0.626297589,-0.036041135,0.315976822,0.388012868,0.194342311,0.105226675,0.04968286,0.007344564,0.028509198,-0.114549342,-0.054862335,0.102810318,0.00902974,-0.201164099,-0.102399092,-0.785514894,-0.614455722,-0.714720106,-0.70097487,0.16739621,0.15801178,-0.089778157,-0.158086807,-0.151547172,-0.443762307,-0.233072986,-0.483561027,-0.476215976,-0.685169261,-0.353312982,-0.65694939,-0.628349703,-0.726866201,-0.897177275,-0.898957569,-0.886468686,-0.917173346,-0.929661441,-0.889731605,-0.933767032,-0.936896973,-0.925690362,-0.904477285,-0.873062051,-0.866940948,-0.593258519,-0.508035766
Walking downstairs,7,-0.3337163,-0.338472167,0.101586203,-0.086998755,-0.215705163,-0.648780707,0.1951992,-8.14E-05,-0.064944948,0.061334523,-0.015724952,-0.033098768,-0.6283447,-0.774391898,-0.668753531,-0.618812186,-0.63643316,-0.559121359,-0.370245461,-0.247906519,0.079101931,-0.141205729,-0.172154662,-0.073360429,-0.106764381,-0.119110015,-0.104929322,-0.205529796,-0.216221547,-0.324112576,0.03273773,-0.006659982,-0.194065519,-0.312625144,-0.626807174,-0.370191953,-0.421441825,-0.417359742,0.097957218,0.33148426,-0.079895353,-0.089899423,-0.020421544,-0.129907896,-0.091660525,-0.064552653,-0.468873401,-0.42186276,-0.419163756,-0.595987197,-0.722471055,-0.742405952,-0.872265472,-0.899867242,-0.877498407,-0.874266272,-0.836060104,-0.87574099,-0.888335245,-0.917680076,-0.936866528,-0.902143699,-0.880995903,-0.805526406,-0.43804781,-0.487045701
Sitting,7,-0.442360681,-0.34549679,-0.025232602,-0.25171087,-0.186039034,-0.233191137,0.013179172,-0.002362868,-0.043628031,-0.040246828,0.032594851,0.087076713,-0.644222057,-0.762713386,-0.664304931,-0.613916397,-0.885614265,-0.841817282,-0.357038466,-0.385018974,-0.360150544,-0.379833891,-0.252907925,-0.112184466,-0.030368187,-0.088276723,-0.060809134,-0.028829285,0.0339777,0.09125537,0.173051251,-0.009765777,-0.002908074,0.048281006,-0.262876847,-0.279305427,-0.390267142,-0.458686078,-0.112479688,0.024456248,0.076870501,0.162677647,0.020488662,-0.080415776,0.035657602,-0.082351318,-0.204251496,-0.214370516,-0.154373876,-0.261225795,-0.179090294,-0.135903407,-0.716567313,-0.593273229,-0.756301302,-0.749170355,-0.758232148,-0.774151776,-0.763073013,-0.721618839,-0.844916208,-0.825744235,-0.632363345,-0.650642396,-0.490714243,-0.425533517
Standing,7,-0.436790443,-0.38754312,-0.002085377,-0.163529052,-0.227024416,-0.117517405,-0.146355237,-0.055052482,-0.112875585,0.076022207,0.161234333,0.067525466,-0.451717457,-0.309637936,-0.289538245,-0.715280308,-0.749964897,-0.85302332,-0.222241635,-0.318907497,-0.327509361,-0.299575553,-0.368395924,-0.062687526,0.014712033,0.064070048,0.043903255,0.089255104,0.040500851,0.028937867,-0.094795221,-0.097311468,0.039165296,0.096319798,-0.280528145,-0.193493846,-0.032481362,-0.098978164,0.272312056,0.111681755,0.03929351,0.093994546,0.165262431,-0.023455927,-0.035077944,0.138304198,-0.362107341,-0.341277968,-0.310198357,-0.056015566,-0.0768183,-0.040228835,-0.642882977,-0.534440721,-0.684218003,-0.646064566,-0.724965014,-0.69517959,-0.744299645,-0.609626263,-0.835912677,-0.741590049,-0.581441946,-0.544851991,-0.688243336,-0.562953266
Laying,7,-0.459246439,-0.619928009,0.018102295,-0.225226897,-0.112367645,-0.341546885,0.01778581,-0.106738718,-0.085917372,-0.049662057,-0.08322401,-0.01901098,-0.528840316,-0.341518534,-0.615555915,-0.580937686,-0.422777151,-0.578931044,-0.39007388,-0.43280512,-0.293775815,-0.250570142,0.01153918,-0.059461672,-0.035674695,0.100951905,-0.018182116,-0.110376929,0.043699817,-0.011504099,-0.245844998,-0.167724546,-0.060647048,-0.120283071,-0.301592889,-0.169934018,-0.416096492,-0.402490056,-0.033328337,-0.059743936,-0.164102344,-0.148233851,-0.210574622,-0.090054054,0.014055787,-0.158931528,-0.369225035,-0.53321483,-0.485202687,-0.44432993,-0.429956482,-0.39929676,-0.556657613,-0.696697973,-0.606039308,-0.713861599,-0.636724076,-0.736220885,-0.66297176,-0.598697398,-0.730579255,-0.773333966,-0.604581663,-0.574408775,-0.696466035,-0.636581092
Walking,8,-0.612312487,-0.513702226,0.077197705,-0.108802238,-0.177840729,-0.500638659,0.049455287,0.144494024,0.014216741,-0.001346378,0.056138125,0.084565612,-0.704365142,-0.800923963,-0.812520032,-0.782229559,-0.476196654,-0.572547048,-0.497521696,-0.385358925,-0.085131051,-0.063450874,-0.068045649,-0.076905118,-0.022142144,-0.03727781,0.010239426,-0.050625945,-0.140479047,-0.2225174,0.029720852,-0.039902651,0.055055507,-0.068080353,-0.350512306,-0.294454287,-0.411649776,-0.337571315,0.187385538,0.187472372,-0.31044973,-0.300713844,-0.277649745,-0.382085073,-0.481045466,-0.385172318,-0.63541513,-0.68416516,-0.6078335,-0.652147602,-0.715428715,-0.631986264,-0.904950749,-0.860256615,-0.866443443,-0.914766477,-0.883242901,-0.864460076,-0.860581028,-0.869879754,-0.935745629,-0.942309897,-0.659598883,-0.595861933,-0.592130097,-0.673440612
Walking Upstairs,8,-0.129907061,-0.309756274,0.162576243,-0.076965038,-0.098419844,-0.627262906,0.130716351,-0.067220158,-0.176374977,0.086864146,0.099263037,-0.031997828,-0.374921714,-0.724114778,-0.897892276,-0.700386101,-0.715572121,-0.45090116,-0.572504376,-0.137188386,-0.212064431,0.029903748,-0.171024325,0.077848832,0.006901466,-0.040517849,-0.132442916,-0.100726897,-0.230401722,-0.157993633,0.028631912,-0.09797092,-0.15107654,-0.240029931,-0.446557115,-0.307436688,-0.588881029,-0.367643014,0.093964234,0.156891817,-0.209943847,-0.304050159,-0.341237028,-0.298975408,-0.528781004,-0.393333911,-0.550625101,-0.668698902,-0.646826021,-0.666639224,-0.640618401,-0.582129491,-0.867166143,-0.890670881,-0.855039672,-0.888471714,-0.894313154,-0.885310108,-0.845774511,-0.846272146,-0.860227327,-0.853683266,-0.707770469,-0.736994748,-0.478894733,-0.550761783
Walking downstairs,8,-0.484624778,-0.250409912,0.086224655,-0.128163411,-0.191829876,-0.495203225,-0.004328243,0.068423789,-0.020366149,-0.035271825,0.04965113,0.042066259,-0.634152747,-0.697460099,-0.69987811,-0.779081741,-0.554161434,-0.413033183,-0.388187192,-0.141913538,-0.090235996,-0.043130122,-0.124980047,-0.140385431,0.026437033,-0.007151725,-0.072239339,-0.155124315,0.006868695,-0.238396012,-0.03457173,0.008550796,-0.045780349,-0.14986166,-0.2989971,-0.421201719,-0.189258986,-0.511841126,0.284995267,0.124747029,-0.357242977,-0.260317416,-0.501626804,-0.447709466,-0.435726887,-0.414125974,-0.46549309,-0.696773896,-0.626296712,-0.660495687,-0.776393349,-0.648498893,-0.835382178,-0.832598396,-0.860504781,-0.860491788,-0.851687002,-0.882678152,-0.877767284,-0.851752904,-0.930448237,-0.936513628,-0.67134666,-0.567873999,-0.65958951,-0.664324656
Sitting,8,-0.387577885,-0.379582944,0.124612393,-0.091397999,-0.166797091,-0.7816371,-0.029073225,-0.03618628,-0.009761118,-0.021406381,-0.058900382,0.062729025,-0.280085024,-0.208323155,-0.548107004,-0.613839059,-0.769177517,-0.756245115,-0.739486976,-0.647325919,-0.775721865,-0.543867284,-0.756458798,-0.353231198,-0.084127988,-0.016148528,-0.001877242,-0.025105118,-0.019644591,0.056371566,-0.2540495,-0.204140928,0.080939042,-0.00654879,-0.464181786,-0.397100056,-0.310838047,-0.199704818,-0.087013848,-0.00777409,0.081564803,-0.164843287,-0.005507542,-0.095212493,-0.032517349,-0.139194573,-0.476142473,-0.351605717,-0.465056369,-0.309899212,-0.422313851,-0.328047413,-0.784342706,-0.756193237,-0.695745669,-0.744154585,-0.688969807,-0.801704317,-0.857010323,-0.719566206,-0.727079247,-0.734067832,-0.65900172,-0.728933254,-0.455058637,-0.520040948
Standing,8,-0.37349831,-0.401962885,0.072011566,-0.154071185,-0.151354376,-0.657200581,0.105072159,0.001797117,-0.100173892,0.015623923,0.027640966,-0.044121853,-0.598266742,-0.691753438,-0.768461958,-0.644553637,-0.631240169,-0.565779637,-0.583947754,-0.580267635,-0.366502766,-0.00167321,0.259577021,0.121272876,-0.043651185,-0.019160101,-0.03181178,0.060268383,0.011028595,-0.146380092,-0.160200902,-0.256293238,-0.039232476,-0.142460302,-0.499384101,-0.232211402,-0.450643753,-0.427944878,0.089097633,0.059312921,-0.319752665,-0.331823126,-0.415155072,-0.491429642,-0.554206076,-0.543555019,-0.623513035,-0.614144053,-0.660766104,-0.63941303,-0.61572016,-0.669424904,-0.720096627,-0.780523677,-0.777783949,-0.781356853,-0.816895424,-0.778092375,-0.70903847,-0.770678215,-0.812984877,-0.797906239,-0.597988493,-0.558701589,-0.535719992,-0.6431934
Laying,8,-0.454246872,-0.176739365,0.11446749,-0.087918437,-0.090781566,-0.553705223,0.13132296,0.045045375,-0.201823764,-0.088989444,0.07750602,-0.000570465,-0.760620606,-0.822094737,-0.863128628,-0.774076286,-0.654538679,-0.608042146,-0.61294737,-0.648679667,-0.506261001,-0.173475151,0.189042513,0.369590271,0.009828545,0.028181315,-0.002909178,0.00389153,-0.046890607,-0.0455963,0.015911891,0.026721198,-0.134877228,-0.197316491,-0.564264434,-0.594979459,-0.667980107,-0.61919834,0.171565199,0.053720724,-0.028810496,-0.196485609,-0.177369244,-0.180226239,-0.360674509,-0.349186869,-0.441276621,-0.506096091,-0.504304052,-0.605028519,-0.438037622,-0.610433664,-0.855504071,-0.867645365,-0.834657449,-0.898578506,-0.884426621,-0.905007504,-0.890277044,-0.903066383,-0.869725679,-0.916539676,-0.745153333,-0.722457822,-0.485957605,-0.414887201
Walking,9,-0.334012305,-0.301637433,0.069375677,-0.176616432,-0.116856952,-0.444992108,-0.010160983,0.050909041,0.120587726,0.192290374,0.014086328,0.030506217,-0.331552512,-0.65294959,-0.896407887,-0.681949871,-0.66853432,-0.680707246,-0.354395539,-0.521457328,-0.204680707,-0.252364213,-0.136966302,-0.025026272,0.084212503,0.073099278,0.062129668,0.105774734,0.003057926,0.004486501,-0.074284154,0.011662862,0.08746584,0.119660404,-0.53839657,-0.668444135,-0.542443534,-0.616089486,-0.103414522,-0.040535747,-0.168955062,-0.072143339,-0.263943423,-0.301759214,-0.183660364,-0.32597288,-0.579524292,-0.577843731,-0.662113448,-0.568781152,-0.54697734,-0.515664102,-0.78883826,-0.792218255,-0.808783139,-0.834825727,-0.860358911,-0.843030917,-0.847703361,-0.811751094,-0.88789862,-0.876668952,-0.743193502,-0.75161823,-0.592052187,-0.558894693
Walking Upstairs,9,-0.481851925,-0.144141245,0.187314962,-0.119510918,-0.122340533,-0.575154768,-0.105412675,0.022927227,0.079755166,0.015756915,-0.038530619,0.004539159,-0.673103313,-0.743103733,-0.758494894,-0.791160024,-0.737727053,-0.750805541,-0.74671855,-0.689133215,-0.634651781,-0.207042567,-0.185709231,0.221901494,0.126954816,0.038545013,0.000372886,0.07802138,0.015657113,-0.065379311,-0.001509644,-0.098342905,0.079048546,0.013975858,-0.76326826,-0.56615801,-0.591968299,-0.682683926,-0.052558658,-0.00741348,-0.129803723,-0.256872381,-0.181197737,-0.291712859,-0.353294076,-0.435508945,-0.444062714,-0.586658111,-0.543032867,-0.637055325,-0.54593738,-0.711009167,-0.887711764,-0.914495571,-0.894612635,-0.933886858,-0.899299432,-0.922323118,-0.925130309,-0.88810865,-0.904374812,-0.884163806,-0.809615216,-0.723287935,-0.470736904,-0.510770813
Walking downstairs,9,-0.319715823,-0.570796822,0.142543954,-0.123950705,-0.133861775,-0.538054026,-0.010050898,-0.000285313,-0.055789281,-0.000725556,-0.058877453,0.015248754,-0.597371726,-0.73725056,-0.931383994,-0.617316066,-0.765556988,-0.70907554,-0.651110515,-0.670967185,-0.358356928,-0.44539174,-0.027069005,0.247513144,0.040730187,-0.016295571,-0.050672205,-0.133461842,-0.209271336,-0.091660662,-0.040415918,-0.052887755,-0.042150586,0.051089679,-0.456633246,-0.807106399,-0.720009766,-0.634459178,-0.053910671,0.043932225,-0.175671281,-0.096690417,-0.184727193,-0.329606253,-0.319819571,-0.417177152,-0.483748249,-0.534831158,-0.705742568,-0.615726241,-0.709101879,-0.621803973,-0.778532322,-0.842759042,-0.806244979,-0.909888249,-0.851778855,-0.814281707,-0.805468749,-0.828285881,-0.841225868,-0.847952547,-0.693722933,-0.736078809,-0.515924151,-0.607307653
Sitting,9,-0.164679803,-0.111524392,0.127380033,-0.109213503,-0.147886213,-0.278979269,0.009287081,0.013149574,0.117684685,0.096063567,-0.014667281,7.41E-05,-0.520741617,-0.67681548,-0.8822226,-0.872211726,-0.904287171,-0.844841342,-0.528074343,-0.520979386,-0.500536446,-0.444682027,-0.161846345,-0.087766463,-0.050584451,0.121795273,0.04977992,0.038218213,0.034366826,0.05372929,-0.088902021,0.021967955,-0.03368552,0.234323465,-0.490827227,-0.620068409,-0.401518641,-0.226576531,0.074951902,0.204857985,-0.02615633,0.012923639,-0.070737964,-0.028554648,-0.080748893,-0.080906027,-0.440256672,-0.558836348,-0.35664028,-0.348809458,-0.257288966,-0.223626322,-0.827376321,-0.843591433,-0.844224746,-0.932610333,-0.914801356,-0.904443018,-0.817759646,-0.835224248,-0.919840175,-0.890194567,-0.633311186,-0.69341931,-0.287881947,-0.595249264
Standing,9,-0.046192972,-0.125044624,0.180470907,-0.030541743,-0.196795305,-0.655221239,-0.011138701,0.234798585,0.022101598,0.041331478,0.186780195,0.030803247,-0.790918838,-0.75715334,-0.754677545,-0.859454734,-0.801983357,-0.780130801,-0.623091089,-0.560999573,-0.417151303,-0.153457353,0.158517455,0.103606193,0.106066754,0.044412955,0.04412241,0.036520279,-0.154439906,0.006782446,-0.007265635,0.045550898,-0.135682099,0.001074207,-0.785758956,-0.401975128,-0.518914033,-0.606512629,0.162087469,0.095156446,-0.115951886,-0.266632323,-0.353463983,-0.304559823,-0.421709803,-0.443097343,-0.609050025,-0.646486479,-0.60429742,-0.626482395,-0.719133199,-0.689419289,-0.922667548,-0.939778427,-0.917062559,-0.93880382,-0.94860603,-0.955327269,-0.92552567,-0.919709793,-0.948113117,-0.93668865,-0.804493098,-0.746531598,-0.394909794,-0.443485448
Laying,9,-0.209701929,-0.150394093,0.089205986,-0.073608157,-0.194475932,-0.247302418,-0.043500882,0.044717742,0.078474688,0.104765094,0.027361927,-0.048955074,-0.54629881,-0.785577364,-0.718194693,-0.839927923,-0.901446601,-0.886851709,-0.558333846,-0.510489521,-0.490912014,-0.330905776,-0.299242938,-0.050516057,-0.044917913,0.022430324,0.100434118,0.137176282,0.083074658,0.006345601,0.140108103,-0.043574471,0.113245724,0.069884589,-0.452612125,-0.48552594,-0.11487738,-0.45178599,0.116879144,0.127634506,-0.013918938,0.013352993,0.030602253,-0.0330541,-0.10605982,-0.06123355,-0.606181501,-0.535349605,-0.246637751,-0.316370037,-0.164957984,-0.355101629,-0.783992719,-0.77359428,-0.825468584,-0.830114978,-0.839929602,-0.824346138,-0.79103042,-0.830286372,-0.948539478,-0.900273688,-0.614317519,-0.629354995,-0.4969919,-0.667587558
